Nome_entidade,Cidade,Dependencia_adm,Localizacao,Numero_de_alunos,porte_da_escola,numero_de_participantes_no_enem,taxa_de_participacao,indicador_de_permanencia_na_escola,indicador_nivel_socioeconomico,faixa_indicador_de_formacao_docente,indicador_de_formacao_docente,taxa_de_aprovacao,taxa_de_reprovacao,taxa_de_abandono,Linguagem,Redacao,Matematica,Humanas,Natureza
EEB CASIMIRO DE ABREU,CURITIBANOS,Estadual,Urbana,207,Mais que 90 alunos,107,"51,69",80% ou mais,Alto,Maior que 50%,"69,3","73,9","16,1",10,"523,73","488,41","492,57","558,97","497,75"
ESCOLA DE EDUCACAO BASICA SOLON ROSA,CURITIBANOS,Estadual,Urbana,57,De 31 a 60 alunos,41,"71,93",De 60% a 80%,Médio Alto,Maior que 50%,"67,3",69,"21,7","9,3","485,69","426,83","450,78","502,29","456,88"
COLEGIO MARIA IMACULADA,CURITIBANOS,Privada,Urbana,16,De 1 a 30 alunos,13,"81,25",De 60% a 80%,Muito Alto,Maior que 50%,"91,2",100,0,0,"547,57","523,08","569,39","614,45","548,18"
EEB ITAJUBA,DESCANSO,Estadual,Rural,18,De 1 a 30 alunos,12,"66,67",80% ou mais,Médio Alto,Maior que 50%,"66,7","87,2","7,7","5,1","478,78",415,"449,86","516,7","462,98"
EEB EVERARDO BACKHEUSER,DESCANSO,Estadual,Urbana,36,De 31 a 60 alunos,33,"91,67",80% ou mais,Médio Alto,Maior que 50%,"80,4","89,9","8,9","1,2","496,63","498,18","480,51","542,87","504,58"
EEB DR THEODURETO DE FARIA SOUTO,DIONISIO CERQUEIRA,Estadual,Urbana,87,De 61 a 90 alunos,57,"65,52",80% ou mais,Médio Alto,Maior que 50%,"68,9","83,7","15,1","1,2","490,54","432,98","449,99","535,61","468,98"
EEB LINDO SARDAGNA,DONA EMMA,Estadual,Urbana,40,De 31 a 60 alunos,32,80,80% ou mais,Médio Alto,Maior que 50%,"51,8","85,4","8,6",6,"458,61",425,"453,26","516,11","471,46"
EEB PIO XII,ENTRE RIOS,Estadual,Urbana,22,De 1 a 30 alunos,16,"72,73",80% ou mais,Médio,Até 50%,50,"88,1","7,1","4,8","474,5",445,"440,46","536,61","488,11"
EEB PEDRO SIMON,ERMO,Estadual,Urbana,22,De 1 a 30 alunos,13,"59,09",80% ou mais,Médio Alto,Maior que 50%,"54,6",77,"14,3","8,7","483,08","458,46","451,73","534,65","469,18"
EEB PREF AGENOR PIOVEZAN,ERVAL VELHO,Estadual,Urbana,54,De 31 a 60 alunos,33,"61,11",80% ou mais,Médio Alto,Até 50%,"29,5","80,9","17,6","1,5","504,96","473,33","463,6","532,28","476,51"
EEB PROFº SALUSTIANO A CABREIRA,FAXINAL DOS GUEDES,Estadual,Urbana,112,Mais que 90 alunos,67,"59,82",80% ou mais,Médio Alto,Maior que 50%,"62,3","77,5",19,"3,5","513,68","514,33","477,5","552,07","479,38"
EEB JORGE LACERDA,FLOR DO SERTAO,Estadual,Urbana,20,De 1 a 30 alunos,14,70,80% ou mais,Médio Alto,Maior que 50%,"83,3","80,6","16,3","3,1","482,97","512,86","471,87","531,51","464,49"
INSTITUTO ESTADUAL DE EDUCACAO,FLORIANOPOLIS,Estadual,Urbana,494,Mais que 90 alunos,307,"62,15",De 60% a 80%,Alto,Maior que 50%,"83,2","77,4","15,7","6,9","533,15","534,72","489,17","558,58","495,41"
EEB PROFº HENRIQUE STODIECK,FLORIANOPOLIS,Estadual,Urbana,140,Mais que 90 alunos,77,55,De 20% a 40%,Alto,Maior que 50%,"66,4","56,2","36,6","7,2","520,47","494,29","481,34","557,25","485,61"
EEB LEONOR DE BARROS,FLORIANOPOLIS,Estadual,Urbana,76,De 61 a 90 alunos,40,"52,63",80% ou mais,Médio Alto,Maior que 50%,75,"58,6","29,3","12,1","503,44","407,5","460,18","524,59","462,05"
EEB FELICIANO NUNES PIRES,FLORIANOPOLIS,Estadual,Urbana,77,De 61 a 90 alunos,70,"90,91",80% ou mais,Muito Alto,Maior que 50%,"76,9","96,3","3,7",0,"568,45","581,14","557,98","610,29","554,69"
